12, 0, 2, 64, 0, 0, 0
12, 1, 10, 128, 1, 3, 3
15, 1, 6, 512, 2, 4, 1
18, 0, 4, 256, 1, 2, 2
20, 1, 8, 128, 0, 1, 1
22, 0, 6, 512, 2, 3, 2
24, 1, 12, 256, 0, 4, 3
26, 1, 4, 128, 1, 2, 1
28, 0, 8, 256, 0, 3, 2
30, 1, 6, 512, 2, 1, 1
32, 0, 10, 128, 1, 4, 3
34, 1, 8, 256, 0, 2, 2
36, 1, 6, 128, 2, 3, 1
38, 0, 4, 256, 0, 1, 2
40, 1, 12, 128, 1, 4, 3
42, 0, 6, 512, 2, 2, 2
44, 1, 10, 256, 0, 3, 1
46, 0, 8, 128, 1, 1, 1
48, 1, 4, 256, 0, 4, 2
50, 1, 6, 128, 2, 3, 3
52, 0, 10, 256, 0, 2, 1
54, 1, 8, 128, 1, 3, 2
56, 0, 6, 512, 2, 4, 1
58, 1, 12, 256, 0, 1, 3
60, 1, 4, 128, 1, 2, 1
62, 0, 8, 256, 0, 3, 2
64, 1, 6, 512, 2, 1, 1
66, 0, 10, 128, 1, 4, 3
68, 1, 8, 256, 0, 2, 2
70, 1, 6, 128, 2, 3, 1
72, 0, 4, 256, 0, 1, 2
